The Dodo Restaurant,https://www.yelp.com/biz/the-dodo-restaurant-salt-lake-city,4,544,Moderate,['American (Traditional)'],(801) 486-2473,1355 E 2100th S,Sugar House
Laan Na Thai Restaurant,https://www.yelp.com/biz/laan-na-thai-restaurant-salt-lake-city,4.5,85,Low,['Thai'],(801) 363-2717,336 W 300th S,Downtown
Curry Fried Chicken,https://www.yelp.com/biz/curry-fried-chicken-salt-lake-city,4.5,322,Low,"['Middle Eastern', 'Indian', 'Pakistani']",(801) 924-9188,660 S State St,Downtown
California Burgers And Deli,https://www.yelp.com/biz/california-burgers-and-deli-salt-lake-city,4.5,164,Low,['Burgers'],(801) 924-0372,306 N 300th W,Capitol Hill
Tradition,https://www.yelp.com/biz/tradition-salt-lake-city,4,212,Moderate,"['Comfort Food', 'Bars', 'American (Traditional)']",(385) 202-7167,501 E 900th S,Central City
Pie Hole,https://www.yelp.com/biz/pie-hole-salt-lake-city,4,457,Low,['Pizza'],(801) 359-4653,344 S State St,Downtown
Tin Angel,https://www.yelp.com/biz/tin-angel-salt-lake-city,4,336,Moderate,"['American (New)', 'Cocktail Bars', 'Tapas Bars']",(801) 328-4155,365 W 400th S,Downtown
Rib & Chop House,https://www.yelp.com/biz/rib-and-chop-house-salt-lake-city,4,92,Moderate,"['Steakhouses', 'Seafood', 'American (Traditional)']",(801) 619-7009,140 S 300 W,Downtown
Yoyis Mexican Grill,https://www.yelp.com/biz/yoyis-mexican-grill-salt-lake-city,4.5,16, ,"['Mexican', 'Tex-Mex']",(801) 466-4617,1270 South 1100 E,East Liberty Park
The Official That Sandwich Shop,https://www.yelp.com/biz/the-official-that-sandwich-shop-salt-lake-city,5,29,Low,['Sandwiches'],(801) 532-2689,55 N Redwood Rd,Poplar Grove
Epic Brewing Company,https://www.yelp.com/biz/epic-brewing-company-salt-lake-city,4.5,269,Moderate,"['Breweries', 'Beer, Wine & Spirits', 'American (New)']",(801) 906-0123,825 S State St,Downtown
Twist,https://www.yelp.com/biz/twist-salt-lake-city,3.5,159,Moderate,['Gastropubs'],(801) 322-3200,32 Exchange Pl,Downtown
Alberto’s Mexican Food,https://www.yelp.com/biz/albertos-mexican-food-salt-lake-city,4,227,Low,['Mexican'],(801) 531-0411,511 S 300th W,Downtown
Red Iguana 2,https://www.yelp.com/biz/red-iguana-2-salt-lake-city,4.5,736,Moderate,['Mexican'],(801) 214-6050,866 W S Temple,Poplar Grove
Zao Asian Cafe,https://www.yelp.com/biz/zao-asian-cafe-salt-lake-city-2,4.5,295,Low,['Asian Fusion'],(801) 595-1234,639 E 400th S,Central City
Garage On Beck,https://www.yelp.com/biz/garage-on-beck-salt-lake-city,4,283,Moderate,"['Bars', 'Music Venues', 'Burgers']",(801) 521-3904,1199 Beck St,Capitol Hill
Sunny’s Bistro,https://www.yelp.com/biz/sunnys-bistro-salt-lake-city,4,207,Low,"['Taiwanese', 'Korean', 'Chinese']",(801) 746-1688,2333 W N Temple St,Poplar Grove
Tacos Hidalgo,https://www.yelp.com//biz/tacos-hidalgo-salt-lake-city,5.0,42,Low,"['Mexican', 'Food Stands']",(801) 903-9868,400 W S Temple,Downtown
Settebello Pizzeria Napoletana,https://www.yelp.com//biz/settebello-pizzeria-napoletana-salt-lake-city,4.0,708,Moderate,"['Pizza', 'Italian']",(801) 322-3556,260 S 200th W,Downtown
Cucina Toscana,https://www.yelp.com//biz/cucina-toscana-salt-lake-city,4.0,311,High,['Italian'],(801) 328-3463,282 S 300th W,Downtown
Sawadee Utah Thai Restaurant,https://www.yelp.com//biz/sawadee-utah-thai-restaurant-salt-lake-city,4.0,459,Moderate,['Thai'],(801) 328-8424,754 E S Temple St,East Central
Post Office Place,https://www.yelp.com//biz/post-office-place-salt-lake-city-2,4.5,20, ,['Tapas Bars'], ,16 W Market St,Downtown
La-Cai Noodle House,https://www.yelp.com//biz/la-cai-noodle-house-salt-lake-city,4.0,366,Moderate,"['Vietnamese', 'Chinese', 'Beer Bar']",(801) 322-3590,961 S State St, 
Ramen Bar,https://www.yelp.com//biz/ramen-bar-salt-lake-city-4,4.0,33, ,"['Ramen', 'Izakaya']",(801) 355-0158,319 Main St,Downtown
VENETO Ristorante Italiano,https://www.yelp.com//biz/veneto-ristorante-italiano-salt-lake-city,4.5,106,High,"['Italian', 'Wine Bars']",(801) 359-0708,370 E 900th S, 
Yoko Ramen,https://www.yelp.com//biz/yoko-ramen-salt-lake-city,3.5,191,Moderate,"['Ramen', 'Asian Fusion']",(801) 876-5267,473 E 300th St,Central City
The Kathmandu,https://www.yelp.com//biz/the-kathmandu-salt-lake-city-3,4.0,6, ,"['Indian', 'Himalayan/Nepalese']",(801) 935-4258,250 W 2100 S,Ballpark
Thai Chile Restaurant,https://www.yelp.com//biz/thai-chile-restaurant-salt-lake-city,4.5,174,Moderate,['Thai'],(801) 953-1553,872 S State St,Downtown
Siegfried’s Delicatessen,https://www.yelp.com//biz/siegfrieds-delicatessen-salt-lake-city,4.0,320,Low,['German'],(801) 355-3891,20 W 200th S,Downtown
Mollie & Ollie,https://www.yelp.com//biz/mollie-and-ollie-salt-lake-city,4.0,179,Moderate,"['Asian Fusion', 'Acai Bowls', 'Gluten-Free']",(801) 328-5659,159 S Main St,Downtown
Ombu Grill,https://www.yelp.com//biz/ombu-grill-salt-lake-city,3.5,142,Moderate,"['Barbeque', 'Korean']",(801) 484-4848,1438 State St,Ballpark
Jamaica’s Kitchen,https://www.yelp.com//biz/jamaicas-kitchen-salt-lake-city,5.0,7, ,"['Caribbean', 'Food Trucks']",(385) 212-4646, , 
SOMI Vietnamese Bistro,https://www.yelp.com//biz/somi-vietnamese-bistro-salt-lake-city-2,4.5,352,Moderate,"['Vietnamese', 'Chinese', 'Cocktail Bars']",(385) 322-1158,1215 E Wilmington Ave,Sugar House
Gurkhas,https://www.yelp.com//biz/gurkhas-salt-lake-city,5.0,31, ,"['Indian', 'Himalayan/Nepalese', 'Buffets']",(801) 755-3499,3025 E 3300th S,Canyon Rim
Curry N’ Kabobs,https://www.yelp.com//biz/curry-n-kabobs-salt-lake-city-3,4.5,160,Low,"['Indian', 'Afghan']",(801) 363-0300,268 S Main St,Downtown
Pacific Seas,https://www.yelp.com//biz/pacific-seas-salt-lake-cty,5.0,34,Moderate,['Polynesian'],(801) 975-6565,1151 S Redwood Rd,Glendale
Bodega + The Rest,https://www.yelp.com//biz/bodega-the-rest-salt-lake-city,4.0,252,Moderate,"['American (New)', 'Cocktail Bars']",(801) 532-4042,331 S Main St,Downtown
Penny Ann’s Cafe,https://www.yelp.com//biz/penny-anns-cafe-salt-lake-city,4.0,914,Low,"['Cafes', 'American (Traditional)', 'Breakfast & Brunch']",(801) 935-4760,1810 S Main St,Ballpark
Mo’ Bettahs,https://www.yelp.com//biz/mo-bettahs-salt-lake-city,4.0,200,Low,['Hawaiian'],(801) 466-3886,335 W 1830th S,Ballpark
565 Firehouse,https://www.yelp.com//biz/565-firehouse-salt-lake-city-2,4.5,77,Moderate,"['Barbeque', 'Thai']",(801) 268-3374,565 E 2100th S,Liberty Wells
Aristo’s Greek Restaurant And Cafe,https://www.yelp.com//biz/aristos-greek-restaurant-and-cafe-salt-lake-city-2,4.0,340,Moderate,"['Greek', 'Mediterranean']",(801) 581-0888,224 S 1300th E,East Central
Sapa Sushi Bar and Asian Grill,https://www.yelp.com//biz/sapa-sushi-bar-and-asian-grill-salt-lake-city,4.0,580,Moderate,"['Sushi Bars', 'Asian Fusion', 'Cocktail Bars']",(801) 363-7272,722 S State St,Downtown
Pago,https://www.yelp.com//biz/pago-salt-lake-city,4.0,459,Moderate,"['American (New)', 'Tapas/Small Plates']",(801) 532-0777,878 S 900th E,9th & 9th
CY Noodle And Chinese Restaurant,https://www.yelp.com//biz/cy-noodle-and-chinese-restaurant-salt-lake-city,4.0,175,Moderate,"['Ramen', 'Szechuan', 'Noodles']",(801) 485-2777,3390 S State St,City of South Salt Lake
EJO Korean BBQ,https://www.yelp.com//biz/ejo-korean-bbq-south-salt-lake,3.5,37, ,"['Korean', 'Barbeque']",(801) 474-0047,633 E 3300 S,City of South Salt Lake
Moochie’s Meatballs & More,https://www.yelp.com//biz/moochies-meatballs-and-more-salt-lake-city,4.0,562,Low,"['Italian', 'Cheesesteaks']",(801) 596-1350,232 E 800th S,Central City
Mazza,https://www.yelp.com//biz/mazza-salt-lake-city-2,4.0,303,Moderate,['Middle Eastern'],(801) 521-4572,912 E 900th S,9th & 9th
The Pie Pizzeria - Underground,https://www.yelp.com/biz/the-pie-pizzeria-underground-salt-lake-city-3,4,409,Moderate,"['Pizza', 'Vegan', 'Gluten-Free']",(801) 582-5700,1320 E 200th S,East Central
Korea House Restaurant,https://www.yelp.com/biz/korea-house-restaurant-salt-lake-city-2,4,66,Moderate,['Korean'],(801) 487-3900,1300 S State St 145 E,
The Galley grill,https://www.yelp.com/biz/the-galley-grill-salt-lake-city,4.5,99,Moderate,['Russian'],(801) 466-9224,1295 E Miller Ave,Sugar House
Straw Market,https://www.yelp.com/biz/straw-market-salt-lake-city,4,363,Low,"['Breakfast & Brunch', 'Bakeries', 'Cafes']",(801) 935-4420,390 4th Ave,The Avenues
RYE,https://www.yelp.com/biz/rye-salt-lake-city-2,4,392,Moderate,"['Bars', 'Breakfast & Brunch', 'Diners']",(801) 364-4655,239 S 500th E,Central City
Faces Restaurant,https://www.yelp.com/biz/faces-restaurant-salt-lake-city,4.5,12,Moderate,['Restaurants'],(801) 596-0344,659 N 300th W,Capitol Hill
Kevin’s Fried Chicken,https://www.yelp.com/biz/kevins-fried-chicken-salt-lake-city,4,31,Low,['American (Traditional)'],(801) 293-9559,524 W 4500th S,
One More Noodle House,https://www.yelp.com/biz/one-more-noodle-house-south-salt-lake-5,4.5,126,Low,"['Chinese', 'Noodles']",(801) 906-8992,3370 State St,City of South Salt Lake
Sáme Sushi,https://www.yelp.com/biz/s%C3%A1me-sushi-salt-lake-city,4,179,Moderate,['Sushi Bars'],(801) 363-0895,423 W 300th S,Downtown
LIL Lotus,https://www.yelp.com/biz/lil-lotus-salt-lake-city-2,5,47,Moderate,['Vegan'],(801) 906-0637,2223 S Highland Dr,Sugar House
Table X,https://www.yelp.com/biz/table-x-salt-lake-city,4,123,High,"['American (New)', 'Desserts']",(385) 528-3712,1457 E 3350th S,East Millcreek
Café Trio Downtown,https://www.yelp.com/biz/caf%C3%A9-trio-downtown-salt-lake-city,4,308,Moderate,"['Italian', 'Pizza', 'Tapas Bars']",(801) 533-8746,680 S 900th E,East Central
Manoli’s,https://www.yelp.com/biz/manolis-salt-lake-city,4.5,125,High,['Greek'],(801) 532-3760,402 E Harvey Milk Blvd,
Seasons Plant Based Bistro,https://www.yelp.com/biz/seasons-plant-based-bistro-salt-lake-city,5,97,Moderate,"['Vegan', 'French', 'Italian']",(385) 267-1922,1370 S State St,Ballpark
Cafe Niche,https://www.yelp.com/biz/cafe-niche-salt-lake-city-2,4,393,Moderate,"['Breakfast & Brunch', 'Tapas/Small Plates']",(801) 433-3380,779 E 300th S,East Central
Pleiku,https://www.yelp.com/biz/pleiku-salt-lake-city,4,243,Moderate,"['Vietnamese', 'Tapas/Small Plates', 'Sandwiches']",(801) 359-4544,264 S Main St,Downtown
BTG Wine Bar,https://www.yelp.com/biz/btg-wine-bar-salt-lake-city,4,187,Moderate,"['Wine Bars', 'American (Traditional)']",(801) 359-2814,404 S West Temple,Downtown
Provisions,https://www.yelp.com/biz/provisions-salt-lake-city,4,254,Moderate,"['American (New)', 'Bars', 'Breakfast & Brunch']",(801) 410-4046,3364 S 2300th E,East Millcreek
Avenues Bistro On Third,https://www.yelp.com/biz/avenues-bistro-on-third-salt-lake-city,4,212,Moderate,['American (Traditional)'],(801) 831-5409,564 E 3rd Ave,The Avenues
Mom’s Kitchen,https://www.yelp.com/biz/moms-kitchen-salt-lake-city,3.5,263,Moderate,"['Taiwanese', 'Chinese']",(801) 486-0092,2233 S State St,City of South Salt Lake
Trolley Wing Co,https://www.yelp.com/biz/trolley-wing-co-salt-lake-city-4,4,238,Moderate,"['Chicken Wings', 'Pubs']",(801) 538-0745,2148 S 900th E,Sugar House
Himalayan Kitchen,https://www.yelp.com/biz/himalayan-kitchen-salt-lake-city-2,4,439,Moderate,"['Himalayan/Nepalese', 'Indian']",(801) 328-2077,360 S State St,Downtown
Kyoto Japanese Restaurant,https://www.yelp.com/biz/kyoto-japanese-restaurant-salt-lake-city,4,313,Moderate,"['Japanese', 'Sushi Bars']",(801) 487-3525,1080 E 1300th S,East Central
Cafe Anh Hong,https://www.yelp.com/biz/cafe-anh-hong-salt-lake-city,4,210,Low,"['Dim Sum', 'Cantonese', 'Seafood']",(801) 486-1912,1465 S State St,Liberty Wells
Little Saigon,https://www.yelp.com/biz/little-saigon-salt-lake-city,4.5,232,Low,"['Vietnamese', 'Sandwiches']",(801) 906-8626,2021 Windsor St,Sugar House
Feldman’s Deli,https://www.yelp.com/biz/feldmans-deli-salt-lake-city,4.5,380,Moderate,"['Delis', 'Bagels', 'Breakfast & Brunch']",(801) 906-0369,2005 E 2700th S,Sugar House
Beerhive Pub,https://www.yelp.com/biz/beerhive-pub-salt-lake-city,4,396,Moderate,"['Pubs', 'American (New)']",(801) 364-4268,128 S Main St,Downtown
Gourmandise - The Bakery,https://www.yelp.com/biz/gourmandise-the-bakery-salt-lake-city,4,846,Moderate,"['Bakeries', 'Cafes', 'Patisserie/Cake Shop']",(801) 328-3330,250 S 300th E,Central City
City Creek Pizza,https://www.yelp.com/biz/city-creek-pizza-salt-lake-city,4.5,11, ,['Pizza'],(801) 433-2825,1306 W N Temple,Jordan Meadows
Vertical Diner,https://www.yelp.com/biz/vertical-diner-salt-lake-city,4,480,Moderate,"['Diners', 'Vegan']",(801) 484-8378,234 W 900th S,Peoples Freeway
Tequeños,https://www.yelp.com/biz/teque%C3%B1os-salt-lake-city-3,4.5,16, ,['Venezuelan'],(801) 494-4109,2236 S 1300th E,Sugar House
Meditrina,https://www.yelp.com/biz/meditrina-salt-lake-city,4,260,Moderate,"['Tapas Bars', 'Wine Bars', 'Tapas/Small Plates']",(801) 485-2055,165 W 900 S,Peoples Freeway
Taqueria 27,https://www.yelp.com/biz/taqueria-27-salt-lake-city,4,385,Moderate,"['Venues & Event Spaces', 'Tacos']",(385) 259-0712,1615 S Foothill Dr,East Bench
Pizza Nono,https://www.yelp.com/biz/pizza-nono-salt-lake-city,4.5,124,Moderate,['Pizza'],(385) 444-3530,925 900th S,9th & 9th
The Daily,https://www.yelp.com/biz/the-daily-salt-lake-city,4,9, ,"['Coffee & Tea', 'Breakfast & Brunch', 'Bakeries']",(385) 322-1270,222 S Main St,Downtown
Oh Mai Sandwich Kitchen - Downtown,https://www.yelp.com/biz/oh-mai-sandwich-kitchen-downtown-salt-lake-city-3,4,171,Low,"['Soup', 'Noodles', 'Vietnamese']",(801) 575-8888,850 S State St,Downtown
Fleming’s Prime Steakhouse & Wine Bar - Salt Lake City,https://www.yelp.com/biz/flemings-prime-steakhouse-and-wine-bar-salt-lake-city-salt-lake-city,4,308,High,"['Steakhouses', 'Wine Bars', 'Seafood']",(801) 355-3704,20 South 400 W,Downtown
CoreLife Eatery,https://www.yelp.com/biz/corelife-eatery-salt-lake-city,4,101,Moderate,"['Mediterranean', 'Thai', 'American (Traditional)']",(385) 528-0524,3215 East 3300 S,Canyon Rim
Sakura Hibachi Steakhouse & Sushi Bar,https://www.yelp.com/biz/sakura-hibachi-steakhouse-and-sushi-bar-salt-lake-city,4.5,43,Moderate,"['Teppanyaki', 'Sushi Bars']",(801) 466-8888,3370 S State St,City of South Salt Lake
Crown Burgers,https://www.yelp.com/biz/crown-burgers-salt-lake-city-4,4,164,Low,"['Burgers', 'Fast Food']",(801) 532-5300,118 N 300th W,Capitol Hill
Bambara Salt Lake City,https://www.yelp.com/biz/bambara-salt-lake-city-salt-lake-city,4,475,High,"['American (New)', 'Breakfast & Brunch', 'Seafood']",(801) 363-5454, ,Downtown
Spitz Sugarhouse,https://www.yelp.com/biz/spitz-sugarhouse-salt-lake-city,4,341,Moderate,"['Mediterranean', 'Diners', 'Sandwiches']",(385) 322-1140,1201 E Wilmington Ave,Sugar House
Pulp Lifestyle Kitchen-Downtown,https://www.yelp.com/biz/pulp-lifestyle-kitchen-downtown-salt-lake-city-2,4.5,234,Low,"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Coffee & Tea']",(801) 456-2513,49 Gallivan Ave,Downtown
Luybochka,https://www.yelp.com/biz/luybochka-salt-lake-city,4.5,15,Low,"['Grocery', 'Russian']",(801) 485-8727,959 E 3300th S,
Pho Tay Ho,https://www.yelp.com/biz/pho-tay-ho-salt-lake-city-2,4,274,Low,['Vietnamese'],(801) 466-3650,1766 S Main St,Ballpark
Eva’s Bakery,https://www.yelp.com/biz/evas-bakery-salt-lake-city,4,509,Low,"['Bakeries', 'Cafes', 'Sandwiches']",(801) 355-3942,155 S Main St,Downtown
Fireside On Regent,https://www.yelp.com/biz/fireside-on-regent-salt-lake-city,4,189,Moderate,"['Pizza', 'Italian', 'American (New)']",(801) 359-4011, ,Downtown
Per Noi Trattoria,https://www.yelp.com/biz/per-noi-trattoria-salt-lake-city,4,270,Moderate,['Italian'],(801) 486-3333,3005 S Highland Dr,Sugar House
Ramen930,https://www.yelp.com/biz/ramen930-salt-lake-city-2,4,78, ,['Ramen'],(385) 522-2742,45 E Broadway,Downtown
Old Bridge Cafe,https://www.yelp.com/biz/old-bridge-cafe-salt-lake-city,4.5,124,Moderate,['Cafes'],(801) 466-4330,249 E 3300th S,City of South Salt Lake
From Scratch,https://www.yelp.com/biz/from-scratch-salt-lake-city,4,325,Moderate,"['Pizza', 'Italian', 'American (New)']",(801) 961-9000,62 E Gallivan Ave,Downtown
Stoneground Kitchen,https://www.yelp.com/biz/stoneground-kitchen-salt-lake-city,3.5,458,Moderate,"['Pizza', 'Italian']",(801) 364-1368,249 E 400th S,Central City
Rubi’s Peruvian Taste,https://www.yelp.com/biz/rubis-peruvian-taste-salt-lake-city,4.5,33,Moderate,['Peruvian'],(801) 899-7507,970 East 3300 S,
London Belle,https://www.yelp.com/biz/london-belle-salt-lake-city,4,83, ,"['American (Traditional)', 'Gastropubs', 'Champagne Bars']",(801) 363-8888,321 Main St,Downtown
Bucket O’ Crawfish,https://www.yelp.com/biz/bucket-o-crawfish-west-valley-city,3.5,317,Moderate,['Seafood'],(801) 419-0900,1980 W 3500th S,
Padeli’s Street Greek,https://www.yelp.com/biz/padelis-street-greek-salt-lake-city,4,100,Low,"['Mediterranean', 'Greek', 'Salad']",(801) 322-1111,30 E Broadway,Downtown
Roberts Restaurant,https://www.yelp.com/biz/roberts-restaurant-salt-lake-city,3.5,177,Moderate,"['American (Traditional)', 'Breakfast & Brunch']",(801) 364-3663,145 Wright Brothers Dr,Jordan Meadows
The Rose Establishment,https://www.yelp.com/biz/the-rose-establishment-salt-lake-city,4,435,Low,"['Coffee & Tea', 'Bakeries', 'Breakfast & Brunch']",(801) 208-5569,235 S 400th W,Downtown
Kungfu Hotpot,https://www.yelp.com/biz/kungfu-hotpot-salt-lake-city-2,4.5,61, ,['Hot Pot'], ,1465 State St,Liberty Wells
Taco Taco,https://www.yelp.com/biz/taco-taco-salt-lake-city,4,140,Low,['Mexican'],(801) 428-2704,208 E 500th S,Central City
Taqueria 27,https://www.yelp.com//biz/taqueria-27-salt-lake-city-2,4.0,204,Moderate,['Tacos'],(385) 259-0940,149 E 200 S,Downtown
Tonkotsu Ramen Bar,https://www.yelp.com//biz/tonkotsu-ramen-bar-west-valley-city,4.0,328,Moderate,"['Ramen', 'Noodles', 'Asian Fusion']",(385) 202-5241,1898 W 3500th S, 
Del Mar al Lago Cebicheria Peruana,https://www.yelp.com//biz/del-mar-al-lago-cebicheria-peruana-salt-lake-city,4.0,263,Moderate,"['Peruvian', 'Seafood']",(801) 467-2890,310 Bugatti Ave,City of South Salt Lake
Skewered Thai,https://www.yelp.com//biz/skewered-thai-salt-lake-city,4.0,316,Moderate,['Thai'],(801) 364-1144,575 S 700th E,East Central
